ID,duration,wav,spk_id,wrd
M04-Session2-array-0068,1.61,/scratch/bchristensen/M04/Session2/wav_arrayMic/0068.wav,M04,RAKE
M04-Session2-array-0235,2.27,/scratch/bchristensen/M04/Session2/wav_arrayMic/0235.wav,M04,TROOP
M01-Session1-array-0040,7.05,/scratch/bchristensen/M01/Session1/wav_arrayMic/0040.wav,M01,BUT HE ALWAYS ANSWERS BANANA OIL
M02-Session1-array-0172,5.5728125,/scratch/bchristensen/M02/Session1/wav_arrayMic/0172.wav,M02,I CAN PLAY THIS WEEKEND
M02-Session2-head-0201,2.28,/scratch/bchristensen/M02/Session2/wav_headMic/0201.wav,M02,PIT
FC03-Session2-head-0291,1.8150625,/scratch/bchristensen/FC03/Session2/wav_headMic/0291.wav,FC03,SEE
M04-Session2-array-0298,9.28,/scratch/bchristensen/M04/Session2/wav_arrayMic/0298.wav,M04,BOTH INJURIES WERE TO THE SAME LEG
M04-Session2-head-0205,2.565,/scratch/bchristensen/M04/Session2/wav_headMic/0205.wav,M04,ROCK
F03-Session2-head-0052,3.135,/scratch/bchristensen/F03/Session2/wav_headMic/0052.wav,F03,FORWARD
MC03-Session2-head-0125,1.6518125,/scratch/bchristensen/MC03/Session2/wav_headMic/0125.wav,MC03,ME
F04-Session1-array-0085,1.8,/scratch/bchristensen/F04/Session1/wav_arrayMic/0085.wav,F04,FEET
F03-Session3-head-0071,1.4350625,/scratch/bchristensen/F03/Session3/wav_headMic/0071.wav,F03,TORT
MC04-Session1-array-0024,2.1,/scratch/bchristensen/MC04/Session1/wav_arrayMic/0024.wav,MC04,TRAIT
MC04-Session1-head-0185,1.6,/scratch/bchristensen/MC04/Session1/wav_headMic/0185.wav,MC04,MUCH
FC02-Session3-head-0061,2.485,/scratch/bchristensen/FC02/Session3/wav_headMic/0061.wav,FC02,AT
MC01-Session2-array-0056,1.95,/scratch/bchristensen/MC01/Session2/wav_arrayMic/0056.wav,MC01,NUT
MC03-Session1-array-0034,1.358375,/scratch/bchristensen/MC03/Session1/wav_arrayMic/0034.wav,MC03,YES
F03-Session1-head-0058,1.2000625,/scratch/bchristensen/F03/Session1/wav_headMic/0058.wav,F03,HORN
MC02-Session2-array-0171,5.55,/scratch/bchristensen/MC02/Session2/wav_arrayMic/0171.wav,MC02,THE RESULTS WERE VERY DISAPPOINTING
MC01-Session1-array-0268,3.3,/scratch/bchristensen/MC01/Session1/wav_arrayMic/0268.wav,MC01,START
MC04-Session1-head-0506,1.59,/scratch/bchristensen/MC04/Session1/wav_headMic/0506.wav,MC04,SHELL
FC03-Session2-array-0271,3.6,/scratch/bchristensen/FC03/Session2/wav_arrayMic/0271.wav,FC03,IT REQUIRES NO BIG INVESTMENT
FC03-Session1-head-0347,1.95,/scratch/bchristensen/FC03/Session1/wav_headMic/0347.wav,FC03,HEART
M05-Session2-head-0311,2.415,/scratch/bchristensen/M05/Session2/wav_headMic/0311.wav,M05,YES
MC01-Session3-head-0328,2.105,/scratch/bchristensen/MC01/Session3/wav_headMic/0328.wav,MC01,SORT
FC03-Session1-array-0109,8.25,/scratch/bchristensen/FC03/Session1/wav_arrayMic/0109.wav,FC03,TWICE EACH DAY HE PLAYS SKILLFULLY AND WITH ZEST UPON OUR SMALL ORGAN
MC04-Session1-head-0643,1.58,/scratch/bchristensen/MC04/Session1/wav_headMic/0643.wav,MC04,GEESE
MC03-Session1-array-0511,1.5,/scratch/bchristensen/MC03/Session1/wav_arrayMic/0511.wav,MC03,NIGHT
M02-Session1-head-0127,6.706125,/scratch/bchristensen/M02/Session1/wav_headMic/0127.wav,M02,BOTH FIGURES WOULD GO HIGHER IN LATER YEARS
MC04-Session2-array-0815,0.9,/scratch/bchristensen/MC04/Session2/wav_arrayMic/0815.wav,MC04,REAP
F03-Session3-head-0115,1.595,/scratch/bchristensen/F03/Session3/wav_headMic/0115.wav,F03,RIP
M05-Session2-head-0245,3.24,/scratch/bchristensen/M05/Session2/wav_headMic/0245.wav,M05,ZERO
F03-Session1-head-0083,0.865125,/scratch/bchristensen/F03/Session1/wav_headMic/0083.wav,F03,CORN
MC04-Session1-array-0208,1.65,/scratch/bchristensen/MC04/Session1/wav_arrayMic/0208.wav,MC04,MUT
MC03-Session1-head-0258,1.575,/scratch/bchristensen/MC03/Session1/wav_headMic/0258.wav,MC03,SPAIN
M02-Session2-head-0222,8.0700625,/scratch/bchristensen/M02/Session2/wav_headMic/0222.wav,M02,WHEN ALL ELSE FAILS USE FORCE
F03-Session3-head-0013,2.32,/scratch/bchristensen/F03/Session3/wav_headMic/0013.wav,F03,GEESE
M05-Session1-head-0085,3.055,/scratch/bchristensen/M05/Session1/wav_headMic/0085.wav,M05,TWO
M03-Session2-array-0016,2.85,/scratch/bchristensen/M03/Session2/wav_arrayMic/0016.wav,M03,ALPHA
F03-Session2-head-0155,1.77,/scratch/bchristensen/F03/Session2/wav_headMic/0155.wav,F03,JULIET
M01-Session2_3-array-0103,5.7,/scratch/bchristensen/M01/Session2_3/wav_arrayMic/0103.wav,M01,THEIR HOUSE IS GREY AND WHITE
M03-Session2-head-0028,2.445,/scratch/bchristensen/M03/Session2/wav_headMic/0028.wav,M03,CORN
MC03-Session1-head-0495,1.845,/scratch/bchristensen/MC03/Session1/wav_headMic/0495.wav,MC03,SELL
MC02-Session1-head-0039,2.39,/scratch/bchristensen/MC02/Session1/wav_headMic/0039.wav,MC02,RAKE
MC04-Session1-array-0131,1.5,/scratch/bchristensen/MC04/Session1/wav_arrayMic/0131.wav,MC04,SINGLE
MC01-Session2-array-0288,1.8,/scratch/bchristensen/MC01/Session2/wav_arrayMic/0288.wav,MC01,CAKE
F03-Session1-head-0159,1.1366875,/scratch/bchristensen/F03/Session1/wav_headMic/0159.wav,F03,BEAR
MC02-Session1-array-0290,3.15,/scratch/bchristensen/MC02/Session1/wav_arrayMic/0290.wav,MC02,CITY
FC03-Session1-head-0223,1.965,/scratch/bchristensen/FC03/Session1/wav_headMic/0223.wav,FC03,GROUP
FC03-Session1-head-0127,5.74,/scratch/bchristensen/FC03/Session1/wav_headMic/0127.wav,FC03,HE DRESSES HIMSELF IN AN ANCIENT BLACK FROCK COAT
M01-Session2_3-array-0005,2.1,/scratch/bchristensen/M01/Session2_3/wav_arrayMic/0005.wav,M01,RACE
M03-Session2-array-0348,2.7,/scratch/bchristensen/M03/Session2/wav_arrayMic/0348.wav,M03,SIX
M03-Session2-array-0105,3.15,/scratch/bchristensen/M03/Session2/wav_arrayMic/0105.wav,M03,FLOOR
M02-Session1-head-0025,2.842625,/scratch/bchristensen/M02/Session1/wav_headMic/0025.wav,M02,CHAIR
MC03-Session2-array-0228,1.2,/scratch/bchristensen/MC03/Session2/wav_arrayMic/0228.wav,MC03,MILE
M02-Session1-array-0180,1.5,/scratch/bchristensen/M02/Session1/wav_arrayMic/0180.wav,M02,STEER
M02-Session2-array-0207,10.05,/scratch/bchristensen/M02/Session2/wav_arrayMic/0207.wav,M02,IT EVENTUALLY BECAME A RATHER PROUD CLAIM
M03-Session2-array-0156,3,/scratch/bchristensen/M03/Session2/wav_arrayMic/0156.wav,M03,HATE
FC03-Session3-head-0189,2.4394375,/scratch/bchristensen/FC03/Session3/wav_headMic/0189.wav,FC03,WISE
MC03-Session2-head-0091,1.100625,/scratch/bchristensen/MC03/Session2/wav_headMic/0091.wav,MC03,TAIL
FC03-Session1-array-0255,4.65,/scratch/bchristensen/FC03/Session1/wav_arrayMic/0255.wav,FC03,THE ISLANDS ARE SPARSELY POPULATED
FC03-Session2-head-0304,4.12,/scratch/bchristensen/FC03/Session2/wav_headMic/0304.wav,FC03,YET HE REMAINS THE FIERCEST OF COMPETITORS
FC03-Session2-head-0133,1.925,/scratch/bchristensen/FC03/Session2/wav_headMic/0133.wav,FC03,QUART
MC02-Session1-head-0055,2.5550625,/scratch/bchristensen/MC02/Session1/wav_headMic/0055.wav,MC02,SWARM
MC02-Session1-array-0162,4.35,/scratch/bchristensen/MC02/Session1/wav_arrayMic/0162.wav,MC02,I WAS CONSCIOUS ALL THE TIME
MC04-Session1-array-0035,1.5,/scratch/bchristensen/MC04/Session1/wav_arrayMic/0035.wav,MC04,FEET
F03-Session1-array-0169,1.5,/scratch/bchristensen/F03/Session1/wav_arrayMic/0169.wav,F03,TOOT
M04-Session2-array-0066,1.61,/scratch/bchristensen/M04/Session2/wav_arrayMic/0066.wav,M04,BEAT
MC01-Session1-array-0257,3.15,/scratch/bchristensen/MC01/Session1/wav_arrayMic/0257.wav,MC01,LEAK
FC03-Session2-array-0170,2.25,/scratch/bchristensen/FC03/Session2/wav_arrayMic/0170.wav,FC03,SHEET
F03-Session2-head-0157,1.785,/scratch/bchristensen/F03/Session2/wav_headMic/0157.wav,F03,PRETTY
M02-Session1-head-0069,2.83725,/scratch/bchristensen/M02/Session1/wav_headMic/0069.wav,M02,TRAIN
MC04-Session1-array-0448,1.5,/scratch/bchristensen/MC04/Session1/wav_arrayMic/0448.wav,MC04,SLICKER
M05-Session2-head-0374,2.39,/scratch/bchristensen/M05/Session2/wav_headMic/0374.wav,M05,A
MC04-Session2-array-0662,1.65,/scratch/bchristensen/MC04/Session2/wav_arrayMic/0662.wav,MC04,EIGHT
M05-Session1-array-0130,2.9256875,/scratch/bchristensen/M05/Session1/wav_arrayMic/0130.wav,M05,DARK
MC04-Session1-head-0537,1.225,/scratch/bchristensen/MC04/Session1/wav_headMic/0537.wav,MC04,SHOW
MC04-Session2-array-0695,1.35,/scratch/bchristensen/MC04/Session2/wav_arrayMic/0695.wav,MC04,CODE
F04-Session2-array-0105,3.6,/scratch/bchristensen/F04/Session2/wav_arrayMic/0105.wav,F04,HAT
MC01-Session1-array-0028,3.45,/scratch/bchristensen/MC01/Session1/wav_arrayMic/0028.wav,MC01,TWO
F03-Session3-head-0060,1.745,/scratch/bchristensen/F03/Session3/wav_headMic/0060.wav,F03,CHAIR
MC02-Session1-head-0061,2.53,/scratch/bchristensen/MC02/Session1/wav_headMic/0061.wav,MC02,BORN
FC02-Session3-array-0576,2.1,/scratch/bchristensen/FC02/Session3/wav_arrayMic/0576.wav,FC02,HEAT
M04-Session2-array-0163,1.74,/scratch/bchristensen/M04/Session2/wav_arrayMic/0163.wav,M04,SNOOP
FC03-Session3-head-0109,1.6420625,/scratch/bchristensen/FC03/Session3/wav_headMic/0109.wav,FC03,WAX
MC04-Session2-array-0854,1.2,/scratch/bchristensen/MC04/Session2/wav_arrayMic/0854.wav,MC04,AID
MC02-Session1-array-0260,3.3,/scratch/bchristensen/MC02/Session1/wav_arrayMic/0260.wav,MC02,FAT
M03-Session2-head-0166,3.745,/scratch/bchristensen/M03/Session2/wav_headMic/0166.wav,M03,THE ISLANDS ARE SPARSELY POPULATED
MC02-Session1-head-0255,3.335,/scratch/bchristensen/MC02/Session1/wav_headMic/0255.wav,MC02,SHY
M03-Session2-array-0015,2.7,/scratch/bchristensen/M03/Session2/wav_arrayMic/0015.wav,M03,HAIR
FC02-Session3-head-0990,2.295,/scratch/bchristensen/FC02/Session3/wav_headMic/0990.wav,FC02,OBSERVE
MC01-Session1-array-0315,3.15,/scratch/bchristensen/MC01/Session1/wav_arrayMic/0315.wav,MC01,LIMA
F04-Session2-array-0146,3.3,/scratch/bchristensen/F04/Session2/wav_arrayMic/0146.wav,F04,AT
MC02-Session2-array-0125,3.15,/scratch/bchristensen/MC02/Session2/wav_arrayMic/0125.wav,MC02,BLEND
MC03-Session2-array-0257,1.5,/scratch/bchristensen/MC03/Session2/wav_arrayMic/0257.wav,MC03,EASE
MC04-Session1-head-0212,1.76,/scratch/bchristensen/MC04/Session1/wav_headMic/0212.wav,MC04,BACK
M01-Session1-head-0039,3.765,/scratch/bchristensen/M01/Session1/wav_headMic/0039.wav,M01,NO
FC02-Session3-head-0382,2.13,/scratch/bchristensen/FC02/Session3/wav_headMic/0382.wav,FC02,GEESE
FC02-Session3-head-0934,2.04,/scratch/bchristensen/FC02/Session3/wav_headMic/0934.wav,FC02,MUSK
MC01-Session3-head-0144,2.18,/scratch/bchristensen/MC01/Session3/wav_headMic/0144.wav,MC01,SEE
F04-Session2-head-0040,2.845,/scratch/bchristensen/F04/Session2/wav_headMic/0040.wav,F04,DOT
MC03-Session1-array-0215,4.05,/scratch/bchristensen/MC03/Session1/wav_arrayMic/0215.wav,MC03,ALL THE BIG BASEBALL PLAYERS GET TRADED
M03-Session2-head-0356,2.09,/scratch/bchristensen/M03/Session2/wav_headMic/0356.wav,M03,GOLF
MC04-Session1-head-0538,1.395,/scratch/bchristensen/MC04/Session1/wav_headMic/0538.wav,MC04,GEESE
MC03-Session1-array-0254,1.35,/scratch/bchristensen/MC03/Session1/wav_arrayMic/0254.wav,MC03,SIDE
MC04-Session1-array-0272,1.65,/scratch/bchristensen/MC04/Session1/wav_arrayMic/0272.wav,MC04,HILL
FC01-Session1-head-0013,3.205,/scratch/bchristensen/FC01/Session1/wav_headMic/0013.wav,FC01,FAIR
MC03-Session1-array-0082,4.95,/scratch/bchristensen/MC03/Session1/wav_arrayMic/0082.wav,MC03,EXCEPT IN THE WINTER WHEN THE OOZE OR SNOW OR ICE PREVENTS
M05-Session1-head-0088,2.5900625,/scratch/bchristensen/M05/Session1/wav_headMic/0088.wav,M05,RAGE
MC03-Session2-head-0201,1.764875,/scratch/bchristensen/MC03/Session2/wav_headMic/0201.wav,MC03,HAD
M05-Session1-array-0011,2.4613125,/scratch/bchristensen/M05/Session1/wav_arrayMic/0011.wav,M05,FEET
MC04-Session1-head-0490,1.445,/scratch/bchristensen/MC04/Session1/wav_headMic/0490.wav,MC04,IN
MC01-Session1-array-0177,2.55,/scratch/bchristensen/MC01/Session1/wav_arrayMic/0177.wav,MC01,NO
M01-Session1-array-0055,3.75,/scratch/bchristensen/M01/Session1/wav_arrayMic/0055.wav,M01,FEED
MC04-Session2-array-0993,1.2,/scratch/bchristensen/MC04/Session2/wav_arrayMic/0993.wav,MC04,TORT
MC01-Session3-head-0114,2.28,/scratch/bchristensen/MC01/Session3/wav_headMic/0114.wav,MC01,LAX
M03-Session2-head-0149,2.325,/scratch/bchristensen/M03/Session2/wav_headMic/0149.wav,M03,HEAR
FC03-Session2-head-0181,4.035,/scratch/bchristensen/FC03/Session2/wav_headMic/0181.wav,FC03,COCONUT CREAM PIE MAKES A NICE DESSERT
M01-Session1-head-0074,3.54,/scratch/bchristensen/M01/Session1/wav_headMic/0074.wav,M01,CAR
M05-Session2-head-0220,3.245,/scratch/bchristensen/M05/Session2/wav_headMic/0220.wav,M05,PAPA
M01-Session1-head-0080,3.3,/scratch/bchristensen/M01/Session1/wav_headMic/0080.wav,M01,TRACE
F01-Session1-head-0090,2.0291875,/scratch/bchristensen/F01/Session1/wav_headMic/0090.wav,F01,TROUBLE
F04-Session2-array-0158,3,/scratch/bchristensen/F04/Session2/wav_arrayMic/0158.wav,F04,HARK
MC04-Session2-array-0931,2.4,/scratch/bchristensen/MC04/Session2/wav_arrayMic/0931.wav,MC04,WE KNEW WE WEREN'T DOING WELL
MC01-Session1-array-0188,2.7,/scratch/bchristensen/MC01/Session1/wav_arrayMic/0188.wav,MC01,SINGLE
MC04-Session1-head-0296,1.785,/scratch/bchristensen/MC04/Session1/wav_headMic/0296.wav,MC04,AND
M03-Session2-head-0044,2.75,/scratch/bchristensen/M03/Session2/wav_headMic/0044.wav,M03,STORM
MC04-Session1-array-0505,3.45,/scratch/bchristensen/MC04/Session1/wav_arrayMic/0505.wav,MC04,HELP GREG TO PICK A PECK OF POTATOES
M02-Session1-head-0231,2.118875,/scratch/bchristensen/M02/Session1/wav_headMic/0231.wav,M02,ROCK
MC02-Session1-array-0059,3,/scratch/bchristensen/MC02/Session1/wav_arrayMic/0059.wav,MC02,KNEE
FC02-Session3-head-0347,2.185,/scratch/bchristensen/FC02/Session3/wav_headMic/0347.wav,FC02,SHRED
MC02-Session1-head-0227,4.19,/scratch/bchristensen/MC02/Session1/wav_headMic/0227.wav,MC02,I SCRUBBED THE FLOORS THOROUGHLY
M03-Session2-array-0240,2.4,/scratch/bchristensen/M03/Session2/wav_arrayMic/0240.wav,M03,POT
M03-Session2-head-0106,2.815,/scratch/bchristensen/M03/Session2/wav_headMic/0106.wav,M03,JACKET
F03-Session2-array-0047,2.4,/scratch/bchristensen/F03/Session2/wav_arrayMic/0047.wav,F03,SPRINKLE
MC04-Session1-array-0540,2.85,/scratch/bchristensen/MC04/Session1/wav_arrayMic/0540.wav,MC04,THE RESULTS WERE VERY DISAPPOINTING
MC04-Session1-head-0638,2.825,/scratch/bchristensen/MC04/Session1/wav_headMic/0638.wav,MC04,DON'T DO CHARLIE'S DIRTY DISHES
F03-Session2-array-0064,2.85,/scratch/bchristensen/F03/Session2/wav_arrayMic/0064.wav,F03,LEAK
F04-Session2-array-0094,2.85,/scratch/bchristensen/F04/Session2/wav_arrayMic/0094.wav,F04,DARN
MC01-Session3-array-0022,4.95,/scratch/bchristensen/MC01/Session3/wav_arrayMic/0022.wav,MC01,I WAS PLEASED WITH THE WAY THINGS WENT
F03-Session1-array-0033,1.2,/scratch/bchristensen/F03/Session1/wav_arrayMic/0033.wav,F03,WEED
MC01-Session3-array-0211,2.55,/scratch/bchristensen/MC01/Session3/wav_arrayMic/0211.wav,MC01,HARM
F03-Session3-array-0181,1.65,/scratch/bchristensen/F03/Session3/wav_arrayMic/0181.wav,F03,DREAD
M02-Session1-head-0172,6.509125,/scratch/bchristensen/M02/Session1/wav_headMic/0172.wav,M02,I CAN PLAY THIS WEEKEND
F03-Session3-array-0086,2.55,/scratch/bchristensen/F03/Session3/wav_arrayMic/0086.wav,F03,SIP
MC02-Session1-head-0248,2.885,/scratch/bchristensen/MC02/Session1/wav_headMic/0248.wav,MC02,OF
FC03-Session2-head-0373,4.88,/scratch/bchristensen/FC03/Session2/wav_headMic/0373.wav,FC03,HER CLASSICAL PERFORMANCE GAINED CRITICAL ACCLAIM
M02-Session2-head-0119,8.2,/scratch/bchristensen/M02/Session2/wav_headMic/0119.wav,M02,THE MISGUIDED SOULS HAVE LOST THEIR WAY
FC03-Session1-head-0261,3.065,/scratch/bchristensen/FC03/Session1/wav_headMic/0261.wav,FC03,I FEEL I CAN PLAY THIS WEEKEND
MC04-Session1-array-0139,1.35,/scratch/bchristensen/MC04/Session1/wav_arrayMic/0139.wav,MC04,PRIOR
F03-Session2-array-0076,1.95,/scratch/bchristensen/F03/Session2/wav_arrayMic/0076.wav,F03,PARK
F04-Session2-array-0144,6.9,/scratch/bchristensen/F04/Session2/wav_arrayMic/0144.wav,F04,THIS IS NOT A PROGRAM OF SOCIALIZED MEDICINE
MC03-Session1-head-0093,1.53,/scratch/bchristensen/MC03/Session1/wav_headMic/0093.wav,MC03,STORE
F03-Session1-array-0031,9.75,/scratch/bchristensen/F03/Session1/wav_arrayMic/0031.wav,F03,EXCEPT IN THE WINTER WHEN THE OOZE OR SNOW OR ICE PREVENTS
MC02-Session1-head-0098,2.885,/scratch/bchristensen/MC02/Session1/wav_headMic/0098.wav,MC02,SHARE
MC01-Session1-array-0031,2.85,/scratch/bchristensen/MC01/Session1/wav_arrayMic/0031.wav,MC01,FLOOR
M04-Session2-head-0084,3.06,/scratch/bchristensen/M04/Session2/wav_headMic/0084.wav,M04,TIP
MC01-Session1-array-0008,3,/scratch/bchristensen/MC01/Session1/wav_arrayMic/0008.wav,MC01,BUG
MC03-Session1-array-0477,1.5,/scratch/bchristensen/MC03/Session1/wav_arrayMic/0477.wav,MC03,BEST
M04-Session2-array-0228,2.36,/scratch/bchristensen/M04/Session2/wav_arrayMic/0228.wav,M04,SIDE
F04-Session2-head-0118,4.2,/scratch/bchristensen/F04/Session2/wav_headMic/0118.wav,F04,IT WAS A GOOD WIN FOR US
FC02-Session3-head-0880,2.18,/scratch/bchristensen/FC02/Session3/wav_headMic/0880.wav,FC02,BASH
F03-Session2-head-0112,2.2550625,/scratch/bchristensen/F03/Session2/wav_headMic/0112.wav,F03,LEAGUE
MC03-Session2-array-0148,1.35,/scratch/bchristensen/MC03/Session2/wav_arrayMic/0148.wav,MC03,FIVE
MC03-Session1-array-0578,1.65,/scratch/bchristensen/MC03/Session1/wav_arrayMic/0578.wav,MC03,THREAT
MC01-Session2-array-0040,1.8,/scratch/bchristensen/MC01/Session2/wav_arrayMic/0040.wav,MC01,DART
F03-Session3-array-0195,2.1,/scratch/bchristensen/F03/Session3/wav_arrayMic/0195.wav,F03,FOE
MC01-Session3-array-0213,2.55,/scratch/bchristensen/MC01/Session3/wav_arrayMic/0213.wav,MC01,FEET
MC04-Session1-array-0435,1.5,/scratch/bchristensen/MC04/Session1/wav_arrayMic/0435.wav,MC04,FOUR
M04-Session2-head-0275,2.89,/scratch/bchristensen/M04/Session2/wav_headMic/0275.wav,M04,JULIET
F03-Session1-array-0094,1.35,/scratch/bchristensen/F03/Session1/wav_arrayMic/0094.wav,F03,FEET
MC01-Session3-array-0212,2.7,/scratch/bchristensen/MC01/Session3/wav_arrayMic/0212.wav,MC01,HAT
FC02-Session3-head-0715,1.885,/scratch/bchristensen/FC02/Session3/wav_headMic/0715.wav,FC02,CORK
MC01-Session3-array-0300,2.4,/scratch/bchristensen/MC01/Session3/wav_arrayMic/0300.wav,MC01,HAD
FC03-Session2-array-0092,1.8,/scratch/bchristensen/FC03/Session2/wav_arrayMic/0092.wav,FC03,ROMEO
M02-Session1-array-0162,1.5,/scratch/bchristensen/M02/Session1/wav_arrayMic/0162.wav,M02,WERE
MC03-Session1-array-0204,1.35,/scratch/bchristensen/MC03/Session1/wav_arrayMic/0204.wav,MC03,KNOT
MC04-Session1-head-0595,1.5949375,/scratch/bchristensen/MC04/Session1/wav_headMic/0595.wav,MC04,RED
F03-Session2-head-0007,9.255,/scratch/bchristensen/F03/Session2/wav_headMic/0007.wav,F03,IF YOU DESTROY CONFIDENCE IN BANKS YOU DO SOMETHING TO THE ECONOMY HE SAID
FC03-Session3-array-0004,1.35,/scratch/bchristensen/FC03/Session3/wav_arrayMic/0004.wav,FC03,ROW
M03-Session2-array-0406,3.45,/scratch/bchristensen/M03/Session2/wav_arrayMic/0406.wav,M03,NOD
M02-Session1-head-0028,2.1588125,/scratch/bchristensen/M02/Session1/wav_headMic/0028.wav,M02,GADGET
MC03-Session1-head-0039,1.605,/scratch/bchristensen/MC03/Session1/wav_headMic/0039.wav,MC03,PARK
M01-Session1-array-0068,3.9,/scratch/bchristensen/M01/Session1/wav_arrayMic/0068.wav,M01,RIGHT
FC02-Session3-array-0941,2.55,/scratch/bchristensen/FC02/Session3/wav_arrayMic/0941.wav,FC02,SUBTRACT
FC02-Session2-array-0263,2.85,/scratch/bchristensen/FC02/Session2/wav_arrayMic/0263.wav,FC02,BAT
FC03-Session2-array-0115,2.7,/scratch/bchristensen/FC03/Session2/wav_arrayMic/0115.wav,FC03,RIGHT
FC02-Session3-head-0473,3.99,/scratch/bchristensen/FC02/Session3/wav_headMic/0473.wav,FC02,THOSE PEOPLE ARE MUCH QUICKER THAN I AM
MC03-Session1-array-0539,2.1,/scratch/bchristensen/MC03/Session1/wav_arrayMic/0539.wav,MC03,SEW
MC04-Session1-head-0140,1.45,/scratch/bchristensen/MC04/Session1/wav_headMic/0140.wav,MC04,KNOT
FC02-Session3-array-0987,4.65,/scratch/bchristensen/FC02/Session3/wav_arrayMic/0987.wav,FC02,THEY COULD WALK RIDE ON A BUS OR BE DRIVEN
MC02-Session1-head-0216,2.57,/scratch/bchristensen/MC02/Session1/wav_headMic/0216.wav,MC02,MUT
F01-Session1-head-0088,1.4296875,/scratch/bchristensen/F01/Session1/wav_headMic/0088.wav,F01,LEFT
MC04-Session1-head-0176,1.35,/scratch/bchristensen/MC04/Session1/wav_headMic/0176.wav,MC04,SUIT
FC03-Session3-array-0020,1.35,/scratch/bchristensen/FC03/Session3/wav_arrayMic/0020.wav,FC03,EASE
MC04-Session1-array-0636,3,/scratch/bchristensen/MC04/Session1/wav_arrayMic/0636.wav,MC04,THE FOUR BROTHERS LOOKED IDENTICAL
MC03-Session1-array-0411,3.15,/scratch/bchristensen/MC03/Session1/wav_arrayMic/0411.wav,MC03,DID DAD DO ACADEMIC BIDDING
FC03-Session2-array-0336,1.35,/scratch/bchristensen/FC03/Session2/wav_arrayMic/0336.wav,FC03,CENTER
M05-Session1-array-0084,1.2074375,/scratch/bchristensen/M05/Session1/wav_arrayMic/0084.wav,M05,KNEW
MC04-Session2-array-0814,1.2,/scratch/bchristensen/MC04/Session2/wav_arrayMic/0814.wav,MC04,ADD
M01-Session2_3-array-0132,8.4,/scratch/bchristensen/M01/Session2_3/wav_arrayMic/0132.wav,M01,THEY CARRIED ME OFF ON THE STRETCHER
MC04-Session2-array-0728,1.35,/scratch/bchristensen/MC04/Session2/wav_arrayMic/0728.wav,MC04,SHEER
FC02-Session3-head-0375,1.77,/scratch/bchristensen/FC02/Session3/wav_headMic/0375.wav,FC02,LEND
M05-Session2-head-0377,0.3150625,/scratch/bchristensen/M05/Session2/wav_headMic/0377.wav,M05,ZULU
MC01-Session1-array-0295,3.3,/scratch/bchristensen/MC01/Session1/wav_arrayMic/0295.wav,MC01,WITTY
